id,name,birthdate,deathdate
6786,Robert M. Young,1907-02-22,1998-07-21
6787,Robert Maillet,1969-10-26,NA
6788,Robert Marcarelli,NA,NA
6789,Robert McKee,NA,NA
6790,Robert Miano,1942-09-25,NA
6791,Robert Mitchum,1917-08-06,1997-07-01
6792,Robert Moresco,NA,NA
6793,Robert Mulligan,1925-08-23,2008-12-20
6794,Robert Neary,1965-03-08,NA
6795,Robert Noble,NA,NA
6796,Robert Pattinson,1986-05-13,NA
6797,Robert Peters,1961-07-20,NA
6798,Robert Picardo,1953-10-27,NA
6799,Robert Pine,1941-07-10,NA
6800,Robert Pralgo,1966-06-04,NA
6801,Robert Prosky,1930-12-13,2008-12-08
6802,Robert Redford,1936-08-18,NA
6803,Robert Ri'chard,1983-01-07,NA
6804,Robert Rodriguez,1968-06-20,NA
6805,Robert Rossen,1908-03-16,1966-02-18
6806,Robert Rusler,1965-09-20,NA
6807,Robert Sarkies,NA,NA
6808,Robert Schwentke,NA,NA
6809,Robert Shaw,1837-10-10,1863-07-18
6810,Robert Stadlober,1982-08-03,NA
6811,Robert Stevenson,1905-03-31,1986-04-30
6812,Robert Stromberg,NA,NA
6813,Robert Taylor,1911-08-05,1969-06-08
6814,Robert Towne,1934-11-23,NA
6815,Robert Townsend,1957-02-06,NA
6816,Robert Turano,NA,NA
6817,Robert Urich,1946-12-19,2002-04-16
6818,Robert Vaughn,1932-11-22,2016-11-11
6819,Robert Wagner,1930-02-10,NA
6820,Robert Wahlberg,1971-06-05,NA
6821,Robert Wise,1914-09-10,2005-09-14
6822,Robert Zemeckis,1952-05-14,NA
6823,Roberta Valderrama,NA,NA
6824,Roberts Blossom,1924-03-25,2011-07-08
6825,Robin Atkin Downes,1976-09-06,NA
6826,Robin Bartlett,1951-04-22,NA
6827,Robin Budd,NA,NA
6828,Robin Givens,1964-11-27,NA
6829,Robin Lord Taylor,1978-06-04,NA
6830,Robin McLeavy,1981-06-19,NA
6831,Robin Sachs,1951-02-05,2013-02-01
6832,Robin Shou,1960-07-17,NA
6833,Robin Weigert,1969-07-07,NA
6834,Robin Williams,1951-07-21,2014-08-11
6835,Robin Wright,1966-04-08,NA
6836,Robinne Lee,1974-07-16,NA
6837,Robinson Devor,NA,NA
6838,Robyn Lively,1972-02-07,NA
6839,Rock Hudson,1925-11-17,1985-10-02
6840,Rod Lurie,1962-05-15,NA
6841,Rod Steiger,1925-04-14,2002-07-09
6842,Roddy McDowall,1928-09-17,1998-10-03
6843,Rodger Bumpass,1951-11-20,NA
6844,Rodman Flender,1962-06-09,NA
6845,Rodney Dangerfield,1921-11-22,2004-10-05
6846,Rodney Eastman,1967-07-20,NA
6847,Rodrigo Cortés,NA,NA
6848,Rodrigo De la Serna,1976-04-18,NA
6849,Rodrigo García,1959-08-24,NA
6850,Roger Allam,1953-10-26,NA
6851,Roger Allers,NA,NA
6852,Roger Ashton-Griffiths,1957-01-19,NA
6853,Roger Avary,1965-08-23,NA
6854,Roger Bart,1962-09-29,NA
6855,Roger Christian,1944-02-25,NA
6856,Roger Cross,1973-09-16,NA
6857,Roger Donaldson,1945-11-15,NA
6858,Roger Guenveur Smith,1955-07-27,NA
6859,Roger Jackson,1958-07-13,NA
6860,Roger Kumble,1966-05-28,NA
6861,Roger Lloyd Pack,1944-02-08,2014-01-15
6862,Roger Michell,1956-06-05,NA
6863,Roger Nygard,1962-03-28,NA
6864,Roger Rees,1944-05-05,2015-07-10
6865,Roger Spottiswoode,1945-01-05,NA
6866,Roger Vadim,1928-01-26,2000-02-11
6867,Roger Willie,NA,NA
6868,Rohan Sippy,NA,NA
6869,Rohit Jagessar,NA,NA
6870,Rohit Jugraj,NA,NA
6871,Roland Emmerich,1955-11-10,NA
6872,Roland Joffé,1945-11-17,NA
6873,Roland Suso Richter,1961-01-07,NA
6874,Rolando Molina,1971-08-13,NA
6875,Rollo Weeks,1987-03-20,NA
6876,Roma Downey,1960-05-06,NA
6877,Roma Maffia,1958-05-31,NA
6878,Romain Duris,1974-05-28,NA
6879,Roman Polanski,1933-08-18,NA
6880,Romane Bohringer,1973-08-14,NA
6881,Romany Malco,1968-11-18,NA
6882,Romeo Miller,1989-08-19,NA
6883,Romesh Sharma,1947-07-27,NA
6884,Romi Aboulafia,1984-01-21,NA
6885,Romola Garai,1982-08-06,NA
6886,Ron Clements,1953-04-25,NA
6887,Ron Eldard,1965-02-20,NA
6888,Ron Fricke,NA,NA
6889,Ron Gelner,NA,NA
6890,Ron Howard,1954-03-01,NA
6891,Ron Lester,1959-03-08,NA
6892,Ron Maxwell,NA,NA
6893,Ron Moody,1924-01-08,2015-06-11
6894,Ron Palillo,1949-04-02,2012-08-14
6895,Ron Rifkin,1939-10-31,NA
6896,Ron Roggé,1968-10-16,NA
6897,Ron Shelton,NA,NA
6898,Ron Silver,1946-07-02,2009-03-15
6899,Ron Underwood,1953-11-06,NA
6900,Ronald Colman,1891-02-09,1958-05-19
6901,Ronald Neame,1911-04-23,2010-06-16
6902,Ronald Pickup,1940-06-07,NA
6903,Ronald Reagan,1937-04-19,NA
6904,Ronan Chapalain,NA,NA
6905,Ronee Collins,NA,NA
6906,Ronit Elkabetz,1964-11-27,2016-04-19
6907,Ronnie Gene Blevins,1977-06-20,NA
6908,Ronnie Lazaro,1957-11-14,NA
6909,Ronny Cox,NA,NA
6910,Ronny Dayag,NA,NA
6911,Ronny Yu,NA,NA
6912,Rorke Denver,NA,NA
6913,Rory Cochrane,1972-02-28,NA
6914,Rory Culkin,1989-07-21,NA
6915,Rory Kinnear,1978-02-17,NA
6916,Rosa Salazar,NA,NA
6917,Rosalind Ayres,1946-12-07,NA
6918,Rosalind Chao,1957-09-23,NA
6919,Rosalind Harris,NA,NA
6920,Rosanna Arquette,1959-08-10,NA
6921,Rosanna DeSoto,1950-09-02,NA
6922,Rosario Dawson,1979-05-09,NA
6923,Roschdy Zem,1965-09-28,NA
6924,Roscoe Lee Browne,1922-05-02,2007-04-11
6925,Rose Marie,1923-08-15,NA
6926,Roseanne Barr,1952-11-03,NA
6927,Rosemarie DeWitt,1971-10-26,NA
6928,Roshan Seth,1942-04-02,NA
6929,Rosie O'Donnell,1962-03-21,NA
6930,Rosie Perez,1964-09-06,NA
6931,Rosie Traynor,NA,NA
6932,Ross Elliott,1917-06-18,1999-08-12
6933,Rowan Isaacson,NA,NA
6934,Rowan Joffe,NA,NA
6935,Rowdy Herrington,NA,NA
6936,Roxane Duran,NA,NA
6937,Roxanne McKee,1980-08-10,NA
6938,Roy Billing,NA,NA
6939,Roy Dupuis,1963-04-21,NA
6940,Roy Scheider,1932-11-10,2008-02-10
6941,Royal Dano,1922-11-16,1994-05-15
6942,Ruairi Robinson,1978-02-15,NA
6943,Ruba Nadda,1972-12-06,NA
6944,Ruben Fleischer,1974-10-31,NA
6945,Ruby Dee,1922-10-27,2014-06-11
6946,Ruby Harris,NA,NA
6947,Ruby Jerins,1998-04-10,NA
6948,Ruby Lin,1976-01-27,NA
6949,Rüdiger Vogler,1942-05-14,NA
6950,Rudolf Klein-Rogge,1885-11-24,1955-04-30
6951,Rudy Youngblood,1982-09-21,NA
6952,Rufus Graham,NA,NA
6953,Rufus Sewell,1967-10-29,NA
6954,Ruggero Deodato,1939-05-07,NA
6955,Rumer Willis,1988-08-16,NA
6956,Rumi Hiiragi,1987-08-01,NA
6957,Rumi Missabu,NA,NA
6958,Rupert Evans,1976-03-09,NA
6959,Rupert Everett,1959-05-29,NA
6960,Rupert Graves,1963-06-30,NA
6961,Rupert Grint,1988-08-24,NA
6962,Rupert Sanders,1971-03-16,NA
6963,Rupert Wainwright,1961-11-30,NA
6964,Rupert Wyatt,1972-10-26,NA
6965,Rus Blackwell,1963-03-23,NA
6966,Russ Meyer,1922-03-21,2004-09-18
6967,Russ Tamblyn,1934-12-30,NA
6968,Russell Crowe,1964-04-07,NA
6969,Russell Friedenberg,1968-02-10,NA
6970,Russell Hodgkinson,1959-08-14,NA
6971,Russell Holt,NA,NA
6972,Russell Mulcahy,1953-06-23,NA
6973,Russell Peters,1970-09-29,NA
6974,Russell Tovey,1981-11-14,NA
6975,Russell Wong,1963-03-01,NA
6976,Russi Taylor,1944-05-04,NA
6977,Rusty Cundieff,1960-12-13,NA
6978,Ruth Negga,1982-01-07,NA
6979,Ruth Sheen,NA,NA
6980,Ruth Wilson,1982-01-13,NA
6981,Ryan Bollman,1972-08-09,NA
6982,Ryan Carnes,1982-11-21,NA
6983,Ryan Cartwright,1981-03-14,NA
6984,Ryan Coogler,1986-05-23,NA
6985,Ryan Corr,1989-01-15,NA
6986,Ryan Donowho,1980-09-20,NA
6987,Ryan Fleck,1976-09-20,NA
6988,Ryan Gosling,1980-11-12,NA
6989,Ryan Guzman,1987-09-21,NA
6990,Ryan Kennedy,1982-12-06,NA
6991,Ryan Kruger,NA,NA
6992,Ryan Little,1971-03-28,NA
6993,Ryan McDonald,NA,NA
6994,Ryan Murphy,1965-11-30,NA
6995,Ryan O'Neal,1941-04-20,NA
6996,Ryan Reynolds,1976-10-23,NA
6997,Ryan Robbins,1972-11-26,NA
6998,Ryan Smith,NA,NA
6999,Ryôko Hirosue,1980-07-18,NA
7000,Ryu Kohata,NA,NA
7001,Ryûhei Kitamura,1969-05-30,NA
7002,Ryûnosuke Kamiki,1993-05-19,NA
7003,RZA,1969-07-05,NA
7004,S. Epatha Merkerson,1952-11-28,NA
7005,S. William Hinzman,1936-10-24,2012-02-05
7006,S.R. Bindler,1970-02-14,NA
7007,S.S. Rajamouli,NA,NA
7008,Saad Siddiqui,1983-04-24,NA
7009,Sabrina Carmichael,1985-07-11,NA
7010,Sabrina Ferilli,1964-06-28,NA
7011,Sabrina Revelle,NA,NA
7012,Sacha Bennett,1971-05-11,NA
7013,Sachiko Ishida,1977-09-12,NA
7014,Sadyk Sher-Niyaz,1969-03-10,NA
7015,Saeed Jaffrey,1929-01-08,2015-11-15
7016,Saffron Burrows,1972-10-22,NA
7017,Sahajak Boonthanakit,NA,NA
7018,Sai Varadan,NA,NA
7019,Saïd Taghmaoui,1973-07-19,NA
7020,Saif Ali Khan,1970-08-16,NA
7021,Sajid Khan,1970-08-16,NA
7022,Sakae Kimura,1955-09-06,NA
7023,Sakina Jaffrey,1962-02-14,NA
7024,Sal Lopez,1954-11-08,NA
7025,Sal Mineo,1939-01-10,1976-02-12
7026,Salim Akil,1964-06-22,NA
7027,Salli Richardson-Whitfield,1967-11-23,NA
7028,Sally Hawkins,1976-04-27,NA
7029,Sally Kirkland,1941-10-31,NA
7030,Sally Potter,1949-09-19,NA
7031,Salma Hayek,1966-09-02,NA
7032,Salvador Carrasco,1967-06-16,NA
7033,Salvator Xuereb,1965-11-17,NA
7034,Salvatore Santone,1999-07-07,NA
7035,Sam Adams,NA,NA
7036,Sam Anderson,1947-04-02,NA
7037,Sam Claflin,1986-06-27,NA
7038,Sam Edwards,1959-11-11,NA
7039,Sam Fell,NA,NA
7040,Sam Firstenberg,1950-03-13,NA
7041,Sam J. Jones,1954-08-12,NA
7042,Sam Jaeger,1977-01-29,NA
7043,Sam Lerner,1992-09-27,NA
7044,Sam Levinson,NA,NA
7045,Sam Lloyd,1963-11-12,NA
7046,Sam Martin,NA,NA
7047,Sam McMurray,1952-04-15,NA
7048,Sam Medina,NA,NA
7049,Sam Mendes,1965-08-01,NA
7050,Sam Miller,1962-09-28,NA
7051,Sam Peckinpah,1925-02-21,1984-12-28
7052,Sam Raimi,1959-10-23,NA
7053,Sam Reid,1987-02-19,NA
7054,Sam Riley,1980-01-08,NA
7055,Sam Shepard,1943-11-05,NA
7056,Sam Taylor-Johnson,1967-03-04,NA
7057,Sam Trammell,1969-01-29,NA
7058,Sam Waterston,1940-11-15,NA
7059,Sam Weisman,NA,NA
7060,Samaire Armstrong,1980-10-31,NA
7061,Samantha Barks,1990-10-02,NA
7062,Samantha Buck,1974-12-20,NA
7063,Samantha Eggar,1939-03-05,NA
7064,Samantha Esteban,1979-10-25,NA
7065,Samantha Futerman,1987-11-19,NA
7066,Samantha Ivers,1982-11-29,NA
7067,Samantha Mathis,1970-05-12,NA
7068,Samantha McLeod,NA,NA
7069,Samantha Morton,1977-05-13,NA
7070,Sameer Ali Khan,NA,NA
7071,Sami Gayle,1996-01-22,NA
7072,Samira Wiley,NA,NA
7073,Samm Levine,1982-03-12,NA
7074,Sammo Kam-Bo Hung,1952-01-07,NA
7075,Sammy Davis Jr.,1925-12-08,1990-05-16
7076,Sammy Nagi Njuguna,NA,NA
7077,Samuel Davis,1925-12-08,1990-05-16
7078,Samuel Roukin,1980-08-15,NA
7079,Samuel West,1966-06-19,NA
7080,Sana Saeed,1988-09-22,NA
7081,Sanaa Hamri,NA,NA
7082,Sanaa Lathan,1971-09-19,NA
7083,Sandahl Bergman,1951-11-14,NA
7084,Sandra Echeverría,1984-12-11,NA
7085,Sandra Ellis Lafferty,1940-08-02,NA
7086,Sandra Nelson,1964-12-29,NA
7087,Sandra Staggs,NA,NA
7088,Sandra Vergara,NA,NA
7089,Sandrine Holt,1972-11-19,NA
7090,Sandrine Kiberlain,1968-02-25,NA
7091,Sandy Dennis,NA,NA
7092,Sanjay Dutt,1959-07-29,NA
7093,Sanjay Mishra,NA,NA
7094,Sanjay Rawal,NA,NA
7095,Sanoe Lake,1979-05-19,NA
7096,Santiago Cabrera,1978-05-05,NA
7097,Santiago Segura,1965-07-17,NA
7098,Sara Forestier,1986-10-04,NA
7099,Sara Gilbert,1975-01-29,NA
7100,Sara Newens,NA,NA
7101,Sara Stepnicka,NA,NA
7102,Sara Stewart,1966-06-28,NA
7103,Sara Sugarman,1965-10-13,NA
7104,Sara-Marie Maltha,1971-11-30,NA
7105,Sarah Butler,1985-02-11,NA
7106,Sarah Callan,NA,NA
7107,Sarah Carter,1980-10-30,NA
7108,Sarah Clarke,1972-02-16,NA
7109,Sarah Douglas,1952-12-12,NA
7110,Sarah Drew,1980-10-01,NA
7111,Sarah Gadon,1987-04-04,NA
7112,Sarah Gavron,NA,NA
7113,Sarah Kazemy,NA,NA
7114,Sarah Lind,1982-07-22,NA
7115,Sarah Michelle Gellar,1977-04-14,NA
7116,Sarah Murphy-Dyson,NA,NA
7117,Sarah Parish,1968-06-07,NA
7118,Sarah Polley,1979-01-08,NA
7119,Sarah Rafferty,1972-12-06,NA
7120,Sarah Roemer,1984-08-28,NA
7121,Sarah Silverman,1970-12-01,NA
7122,Sarah Smith,NA,NA
7123,Sarah Solemani,1986-09-04,NA
7124,Sarah Steele,1988-09-16,NA
7125,Sarah Wright,1983-09-28,NA
7126,Sarah Wynter,1973-02-15,NA
7127,Sarain Boylan,NA,NA
7128,Sariann Monaco,NA,NA
7129,Sarik Andreasyan,1984-08-24,NA
7130,Sarita Choudhury,1966-08-18,NA
7131,Sarunyu Wongkrachang,NA,NA
7132,Sasha Alexander,1973-05-17,NA
7133,Sasha Roiz,1973-10-21,NA
7134,Satish Kaushik,1956-04-13,NA
7135,Satoshi Tsumabuki,1980-12-13,NA
7136,Saul Dibb,NA,NA
7137,Saul Stein,NA,NA
7138,Saul Williams,1940-09-19,NA
7139,Saurabh Shukla,1963-03-05,NA
7140,Sayed Badreya,NA,NA
7141,Scandar Copti,NA,NA
7142,Scarlett Johansson,1984-11-22,NA
7143,Scatman Crothers,1910-05-23,1986-11-22
7144,Scoot McNairy,1977-11-11,NA
7145,Scott A. Martin,NA,NA
7146,Scott Adsit,1965-11-26,NA
7147,Scott Alexander,1963-06-16,NA
7148,Scott Baio,1960-09-22,NA
7149,Scott Cohen,1961-12-19,NA
7150,Scott Cooper,NA,NA
7151,Scott Derrickson,1966-07-16,NA
7152,Scott Dow,NA,NA
7153,Scott Elrod,1975-02-10,NA
7154,Scott Evans,NA,NA
7155,Scott Foley,1972-07-15,NA
7156,Scott Frank,1960-03-10,NA
7157,Scott Glenn,1941-01-26,NA
7158,Scott Grimes,1971-07-09,NA
7159,Scott Handy,1968-07-21,NA
7160,Scott Helvenston,1965-06-21,2004-03-31
7161,Scott Hicks,1953-03-04,NA
7162,Scott Kalvert,1964-08-15,2014-03-05
7163,Scott Lawrence,1963-09-27,NA
7164,Scott Levy,NA,NA
7165,Scott Mann,NA,NA
7166,Scott Marshall,NA,NA
7167,Scott Mechlowicz,1981-01-17,NA
7168,Scott Patterson,1958-09-11,NA
7169,Scott Porter,1979-07-14,NA
7170,Scott Reeves,1966-05-16,NA
7171,Scott Schwartz,NA,NA
7172,Scott Smith,1965-07-13,NA
7173,Scott Speer,NA,NA
7174,Scott Stewart,1954-10-09,NA
7175,Scott Takeda,1967-03-21,NA
7176,Scott Vance,1964-02-22,NA
7177,Scott Walker,NA,NA
7178,Scott Waugh,NA,NA
7179,Scott Weinger,1975-10-05,NA
7180,Scott Wolf,1968-06-04,NA
7181,Scott Ziehl,NA,NA
7182,Scout Taylor-Compton,1989-02-21,NA
7183,Seamus Davey-Fitzpatrick,1998-12-29,NA
7184,Sean Anders,NA,NA
7185,Sean Buchanan,1968-09-30,NA
7186,Sean Byrne,NA,NA
7187,Sean Cameron Michael,1969-12-24,NA
7188,Sean Connery,1930-08-25,NA
7189,Sean Cook,NA,NA
7190,Sean Durkin,NA,NA
7191,Sean Harris,NA,NA
7192,Sean Hayes,1970-06-26,NA
7193,Sean Huze,1975-01-18,NA
7194,Sean Keenan,1993-01-18,NA
7195,Sean Kingston,1990-02-03,NA
7196,Sean Lennon,1975-10-09,NA
7197,Sean Maher,1975-04-16,NA
7198,Sean McNamara,1962-05-09,NA
7199,Sean Michael Afable,1988-11-20,NA
7200,Sean Patrick Thomas,1970-12-17,NA
7201,Sean Penn,1960-08-17,NA
7202,Sean Pertwee,1964-06-04,NA
7203,Sean Rogerson,1977-09-30,NA
7204,Sean Whalen,1964-05-19,NA
7205,Sean Young,1959-11-20,NA
7206,Sebastian Aguilar,NA,NA
7207,Sebastian Blomberg,1972-05-24,NA
7208,Sebastian Koch,1962-05-31,NA
7209,Sebastian Roché,NA,NA
7210,Sebastian Schipper,1968-05-08,NA
7211,Sedona James,NA,NA
7212,Sedona Legge,NA,NA
7213,Seema Biswas,NA,NA
7214,Sela Ward,1956-07-11,NA
7215,Selton Mello,1972-12-30,NA
7216,Sendhil Ramamurthy,1974-05-17,NA
7217,Ser'Darius Blain,NA,NA
7218,Serdar Akar,NA,NA
7219,Seregon O'Dassey,1981-07-03,NA
7220,Serena Grandi,1958-03-23,NA
7221,Serena Scott Thomas,1961-09-21,NA
7222,Sergej Trifunovic,1972-09-02,NA
7223,Sergey Bodrov,1948-06-28,NA
7224,Sergey Bondarchuk,1920-09-25,1994-10-20
7225,Sergey Garmash,1958-09-01,NA
7226,Sergi López,1965-12-22,NA
7227,Sergio Calderón,1921-12-09,2008-01-26
7228,Sergio Leone,1929-01-03,1989-04-30
7229,Sessue Hayakawa,1889-06-10,1973-11-23
7230,Seth Ackerman,NA,NA
7231,Seth Gabel,1981-10-03,NA
7232,Seth Gilliam,1968-11-05,NA
7233,Seth Gordon,NA,NA
7234,Seth MacFarlane,1973-10-26,NA
7235,Seth Meyers,1973-12-28,NA
7236,Seu Jorge,1970-06-08,NA
7237,Seychelle Gabriel,1991-03-25,NA
7238,Seymour Cassel,1935-01-22,NA
7239,Shabana Azmi,1950-09-18,NA
7240,Shad Moss,1987-03-09,NA
7241,Shah Rukh Khan,1965-11-02,NA
7242,Shahab Hosseini,1974-02-03,NA
7243,Shahir Kabaha,NA,NA
7244,Shailene Garnett,NA,NA
7245,Shailene Woodley,1991-11-15,NA
7246,Shakti Kapoor,1952-09-03,NA
7247,Shana Feste,1976-08-28,NA
7248,Shane Acker,NA,NA
7249,Shane Black,1961-12-16,NA
7250,Shane Brolly,1970-03-06,NA
7251,Shane Carruth,NA,NA
7252,Shane Dawson,NA,NA
7253,Shane Hartline,NA,NA
7254,Shane Meadows,1972-12-26,NA
7255,Shane Pollard,NA,NA
7256,Shane Rangi,1969-02-03,NA
7257,Shanley Caswell,1991-12-03,NA
7258,Shannen Fields,NA,NA
7259,Shannon Elizabeth,1973-09-07,NA
7260,Shannon Tweed,1957-03-10,NA
7261,Shannon Woodward,1984-12-17,NA
7262,Shantel VanSanten,1985-07-25,NA
7263,Sharat Saxena,1950-08-17,NA
7264,Shari Albert,1971-07-09,NA
7265,Shari Springer Berman,1963-07-13,NA
7266,Sharlto Copley,1973-11-27,NA
7267,Sharon Greytak,NA,NA
7268,Sharon Lawrence,1961-06-29,NA
7269,Sharon Leal,1972-10-17,NA
7270,Sharon Maguire,NA,NA
7271,Sharon Small,1967-01-01,NA
7272,Sharron Miller,NA,NA
7273,Shaun Evans,NA,NA
7274,Shaun O'Hagan,1969-07-24,NA
7275,Shaun Parkes,1973-02-09,NA
7276,Shaun Sipos,1981-10-30,NA
7277,Shaun Toub,NA,NA
7278,Shaun Weiss,1978-08-27,NA
7279,Shauna Macdonald,1970-10-06,NA
7280,Shawn Andrews,1971-10-15,NA
7281,Shawn Christian,1965-12-18,NA
7282,Shawn Doyle,NA,NA
7283,Shawn Hatosy,1975-12-29,NA
7284,Shawn Levy,1968-07-23,NA
7285,Shawn Parsons,1977-07-03,NA
7286,Shawn Roberts,NA,NA
7287,Shawn Yue,1981-11-13,NA
7288,Shawna Waldron,1982-01-25,NA
7289,Shawnee Smith,1969-07-03,NA
7290,Shazahn Padamsee,1987-10-19,NA
7291,Shea Whigham,1969-01-05,NA
7292,Sheila Hancock,1933-02-22,NA
7293,Shekar,NA,NA
7294,Shekhar Kapur,1945-12-06,NA
7295,Shelby Vischer,NA,NA
7296,Sheldon Bailey,NA,NA
7297,Sheldon Leonard,1907-02-22,1997-01-10
7298,Sheldon Lettich,1951-01-14,NA
7299,Shelley Conn,1976-09-21,NA
7300,Shelley Duvall,1949-07-07,NA
7301,Shelley Hennig,1987-01-02,NA
7302,Shelley Long,1949-08-23,NA
7303,Shelley Waggener,1964-09-30,NA
7304,Shelley Winters,1920-08-18,2006-01-14
7305,Shelly Varod,NA,NA
7306,Shenae Grimes-Beech,1989-10-24,NA
7307,Shengyi Huang,1983-02-11,NA
7308,Sheridan Smith,1981-06-25,NA
7309,Sherman Alexie,1966-10-07,NA
7310,Sherman Hemsley,1938-02-01,2012-07-24
7311,Sherri Shepherd,1967-04-22,NA
7312,Sheryl Crow,1962-02-11,NA
7313,Sheryl Lee,1956-12-30,NA
7314,Shidô Nakamura,1972-09-14,NA
7315,Shigeo Kobayashi,NA,NA
7316,Shimit Amin,NA,NA
7317,Shin'ya Tsukamoto,1960-01-01,NA
7318,Shinji Aramaki,1960-10-02,NA
7319,Shinobu Terajima,1972-12-28,NA
7320,Shintaro Shimosawa,NA,NA
7321,Shiree Nelson,1986-09-12,NA
7322,Shiri Appleby,1978-12-07,NA
7323,Shirley Douglas,1934-04-02,NA
7324,Shirley Henderson,1965-11-24,NA
7325,Shirley Jones,1934-03-31,NA
7326,Shirley Knight,1936-07-05,NA
7327,Shô Kosugi,1976-05-25,NA
7328,Shobu Kapoor,NA,NA
7329,Shona Auerbach,NA,NA
7330,Shona Kay,NA,NA
7331,Shriman Umeshanad Brahmachari,NA,NA
7332,Shriya Saran,1982-09-11,NA
7333,Shun Oguri,1982-12-26,NA
7334,Shyam Madiraju,NA,NA
7335,Si Won Choi,1986-04-07,NA
7336,Sid Caesar,1922-09-08,2014-02-12
7337,Sid Haig,1939-07-14,NA
7338,Siddharth Anand,NA,NA
7339,Siddiq Barmak,1962-09-07,NA
7340,Sidney J. Furie,1933-02-28,NA
7341,Sidney James,1913-05-08,1976-04-26
7342,Sidney Lumet,1924-06-25,2011-04-09
7343,Sienna Beckman,NA,NA
7344,Sierra McCormick,1997-10-28,NA
7345,Sigríður María Egilsdóttir,NA,NA
7346,Sihung Lung,1930-01-01,2002-05-02
7347,Silvia Colloca,1977-07-23,NA
7348,Silvio Muccino,1982-04-14,NA
7349,Simeon Rice,1974-02-24,NA
7350,Simon Abkarian,1962-03-05,NA
7351,Simón Andreu,1941-01-01,NA
7352,Simon Baker,1969-07-30,NA
7353,Simon Baron-Cohen,NA,NA
7354,Simon Callow,1949-06-13,NA
7355,Simon Chandler,NA,NA
7356,Simon Curtis,1960-03-11,NA
7357,Simon McBurney,1957-08-25,NA
7358,Simon Merrells,1965-07-14,NA
7359,Simon Napier-Bell,1939-04-22,NA
7360,Simon Rhee,1957-10-28,NA
7361,Simon Wells,NA,NA
7362,Simon West,1966-09-25,NA
7363,Simon Wincer,NA,NA
7364,Simon Woods,NA,NA
7365,Simon Yam,1955-03-19,NA
7366,Simon Yin,1955-06-06,2015-03-08
7367,Sina Amedson,1982-04-05,NA
7368,Siobhan Fallon Hogan,1961-05-13,NA
7369,Siobhan Marshall,NA,NA
7370,Sissy Petropoulou,NA,NA
7371,Sissy Spacek,1949-12-25,NA
7372,Siu-Wong Fan,1973-06-19,NA
7373,Ski Carr,NA,NA
7374,Skye McCole Bartusiak,1992-09-28,2014-07-19
7375,Skyler Samuels,1994-04-14,NA
7376,Slash,1965-07-23,NA
7377,Slim Pickens,1919-06-29,1983-12-08
7378,Sngmoo Lee,NA,NA
7379,Snoop Dogg,1971-10-20,NA
7380,Sofia Black-D'Elia,1991-12-23,NA
7381,Sofia Boutella,1982-04-06,NA
7382,Sofia Coppola,1971-05-14,NA
7383,Sofia Vassilieva,1992-10-22,NA
7384,Sofie Gråbøl,1968-07-30,NA
7385,Sol Tryon,NA,NA
7386,Soledad Villamil,1969-06-19,NA
7387,Soleyman Pierini,NA,NA
7388,Sonam Kinga,NA,NA
7389,Sonia Braga,1950-06-08,NA
7390,Sonja Sohn,NA,NA
7391,Sonoya Mizuno,NA,NA
7392,Sook-Yin Lee,NA,NA
7393,Sophia Myles,1980-03-18,NA
7394,Sophie Nélisse,2000-03-27,NA
7395,Sophie Okonedo,1968-08-11,NA
7396,Sophie Rois,1961-06-01,NA
7397,Spela Colja,NA,NA
7398,Spencer Breslin,1992-05-18,NA
7399,Spencer Susser,NA,NA
7400,Spencer Tracy,1900-04-05,1967-06-10
7401,Spencer Treat Clark,1987-09-24,NA
7402,Spencer Wilding,1972-07-26,NA
7403,Spike Jonze,1969-10-22,NA
7404,Spike Lee,1957-03-20,NA
7405,Sprague Grayden,1980-07-21,NA
7406,Spring Byington,1886-10-17,1971-09-07
7407,Stacie Evans,NA,NA
7408,Stacy Edwards,1965-03-04,NA
7409,Stacy Keach,1941-06-02,NA
7410,Stacy Peralta,1957-10-15,NA
7411,Stafford Douglas,NA,NA
7412,Stana Roumillac,NA,NA
7413,Stanislav Ianevski,1985-05-16,NA
7414,Stanley B. Herman,NA,NA
7415,Stanley Blystone,1894-08-01,1956-07-16
7416,Stanley Donen,1924-04-13,NA
7417,Stanley Kramer,1913-09-29,2001-02-19
7418,Stanley Kubrick,1928-07-26,1999-03-07
7419,Stanley Tong,NA,NA
7420,Stanton Barrett,1972-12-01,NA
7421,Stark Sands,1978-09-30,NA
7422,Stefan C. Schaefer,NA,NA
7423,Stefan Kapicic,1978-12-01,NA
7424,Stefan Ruzowitzky,1961-12-25,NA
7425,Stefan Schwartz,NA,NA
7426,Stefania Sandrelli,1946-06-05,NA
7427,Stefanie Drummond,NA,NA
7428,Stefen Fangmeier,1960-12-09,NA
7429,Steffinnie Phrommany,1978-10-02,NA
7430,Stellan Skarsgård,1951-06-13,NA
7431,Stephan Elliott,1964-08-27,NA
7432,Stéphane Aubier,1964-10-08,NA
7433,Stephane Gauger,NA,NA
7434,Stéphane Rousseau,1966-09-17,NA
7435,Stephanie Berry,NA,NA
7436,Stephanie Danielson,1987-04-11,NA
7437,Stephanie Lemelin,1979-06-29,NA
7438,Stephanie Leonidas,1984-02-14,NA
7439,Stephanie March,1974-07-23,NA
7440,Stephanie Sigman,NA,NA
